"TIME","MAGN"
24.721,54.9477379538958
24.731,54.9738574233244
24.74,55.0116819980084
24.752,55.0353934414028
24.763,55.082182917891
24.773,55.4317217958273
24.784,55.5397520925328
24.794,55.6087054785489
24.804,55.8647921324335
24.815,55.9655655850095
24.825,56.0665759387891
24.834,56.0453917597156
24.843,56.0941243023724
24.856,56.1415621442795
24.866,56.189307534886
24.878,56.1629882573924
24.887,56.1048822519039
24.895,56.0322521522203
24.907,55.9545016062157
24.928,56.1524849183008
24.932,56.2271481359316
24.943,56.1032460625051
24.947,55.7938098605033
24.965,55.7559203694998
24.969,55.8421673670534
24.983,56.1397878625312
24.991,56.0541381723954
24.999,55.8614706774714
25.007,55.7340924614369
25.018,55.7765141547049
25.027,55.7263472807074
25.048,55.9466123862741
25.058,55.9292591695081
25.068,55.9084771076802
25.079,55.8536732229851
25.089,55.9255224606798
25.1,56.145006178199
25.108,56.1069709349917
25.118,56.0936020193034
25.131,55.8116601280593
25.14,55.6374985958211
25.151,55.4634240400825
25.172,55.3757054131142
25.181,55.2956188929105
25.191,55.3960879710833
25.203,55.3465643694349
25.213,55.5814084811639
25.222,55.6682065343406
25.234,55.7116600228354
25.244,55.6872194156792
25.257,55.6261938074141
25.269,55.6519597588441
25.281,55.5723416480717
25.301,55.6475024709106
25.314,55.6553639036706
25.321,55.5963760622039
25.332,55.5615508917813
25.343,55.550722880085
25.354,55.5404554131491
25.365,55.4970790334951
25.375,55.5440773732898
25.397,55.567667082576
25.405,55.6913228205256
25.417,55.5284977511548
25.428,55.4094841836666
25.438,55.4372886129003
25.448,55.3382002440448
25.458,55.1895526232094
25.467,55.0324123244657
25.479,55.0075278939165
25.489,54.9926486564341
25.499,55.0540927179806
25.512,55.4513088776992
25.523,55.6543461914701
25.535,55.6300910591561
25.546,55.658030923219
25.555,55.7104680468581
25.568,55.6913228205256
25.575,55.7200732456446
25.587,55.7731524234555
25.597,55.5964814534157
25.609,55.2833962980749
25.616,55.2446264355186
25.629,55.3309644322237
25.647,55.5757506696941
25.66,55.3187496469326
25.672,55.657785282025
25.681,55.8931038903727
25.701,55.847238629139
25.714,55.7982554610805
25.722,55.9933380523969
25.731,55.8772021378129
25.742,55.8179238685926
25.755,55.5043283785148
25.764,55.5886819640473
25.774,55.4793739825892
25.784,55.5828140592935
25.804,55.6708378552003
25.814,55.885800130713
25.824,56.2378111794014
25.833,56.3195056685515
25.846,56.5587015299149
25.857,56.4389188636707
25.865,56.127122732686
25.877,56.1340471550021
25.886,56.0282782954286
25.903,55.7763740866148
25.917,55.6509068883877
25.927,55.6202947448141
25.94,55.5394707617925
25.947,55.5785972182638
25.964,55.8122200440907
25.967,55.7333565403161
25.976,55.9704511885513
25.987,55.977883467491
25.997,56.1023757295536
26.008,56.0313458588137
26.017,56.0820757350332
26.028,56.2706906390885
26.039,56.3712928381991
26.05,56.1333860661371
26.059,56.1741850185652
26.067,56.1608321029879
26.076,56.0003487712353
26.098,55.878110931294
26.107,55.9307956876174
26.118,55.8618203136095
26.128,55.9956401762673
26.138,56.0477265930564
26.149,56.3655410579017
26.16,56.4984443923016
26.17,56.4050986724605
26.189,56.4324125613995
26.213,56.3933243500505
26.221,56.5141713422395
26.232,56.3673082335852
26.243,56.153876201915
26.253,56.1661180116625
26.265,56.1930614600237
26.274,56.1804083400076
26.283,56.2642690235108
26.296,55.9461585477502
26.304,55.6875350729407
26.314,55.8216327914188
26.324,55.7817664541918
26.334,55.741941682184
26.344,55.9148347936395
26.355,55.8358363866791
26.364,55.8211779367831
26.374,56.0189700012415
26.385,56.2456248298479
26.394,55.9389315459278
26.405,55.9387220536901
26.416,56.1132365177772
26.426,55.7685297121056
26.437,55.6619961239264
26.445,55.5560668379251
26.456,55.5039764904281
26.466,55.3846281133132
26.476,55.4369010677906
26.488,55.5181558141118
26.496,55.4925389129025
26.506,55.5865386694477
26.515,55.7071724511306
26.528,56.1144895503826
26.54,56.0881351646674
26.549,56.1278534909362
26.559,56.180582165905
26.572,56.1535631661073
26.579,56.3313647646673
26.59,56.411885106332
26.599,56.4522060020687
26.614,56.4928438499072
26.625,56.5190095233453
26.647,56.4532439280508
26.657,56.4945033277575
26.667,56.4664239282957
26.678,56.3859814692446
26.689,56.2398949256664
26.7,56.199213183994
26.712,56.2279818017684
26.722,56.554937339723
26.729,56.4372577514181
26.742,56.5436087237099
26.75,56.4004584976931
26.76,56.4088728614568
26.772,57.0074693570939
26.784,56.9696328099453
26.793,57.1319744101322
26.805,57.3392113326474
26.825,57.560905243924
26.833,57.8152702039003
26.845,57.9040828655458
26.855,57.7803964918033
26.865,57.6578675247359
26.877,57.5930632758842
26.887,57.4452864689524
26.897,57.399028192993
26.919,57.2699883228555
26.928,57.1037296286328
